,Place (Overall),Place (Gender),Place (Category),Name,ClubRunner,Number,Category,Event,Half,Finish
64,26,21,3,"RICHMOND, Ronnie (GBR)",Bideford,27,40-44,Elite,01:07:50,02:19:00
65,7,7,7,"ROBINSON, Brett (AUS)",–,11,18-39,Elite,01:03:38,02:10:19
66,–,–,–,"ROWE, Jack (GBR)",Aldershot Farnham & District,3,18-39,Elite,–,–
67,–,–,–,"SANDISON, Charlie (GBR)",Fulham,17,18-39,Elite,–,–
68,36,12,12,"SCOTT, Dominique (RSA)",–,79,18-39,Elite,01:12:15,02:29:19
69,–,–,–,"SCOTT, Marc (GBR)",Richmond & Zetland,2,18-39,Elite,–,–
70,8,8,8,"SESEMANN, Phil (GBR)",Leeds,20,18-39,Elite,01:05:13,02:10:23
71,–,–,–,"SESEMANN, Phil (GBR)",Leeds City,7,18-39,Elite,–,–
72,–,–,–,"SHARP, Matt (GBR)",Ryde,19,18-39,Elite,–,–
73,–,–,–,"SKELTON, Ross (GBR)",HY Runners,23,18-39,Elite,–,–
74,21,20,18,"STEWART, Fraser (GBR)",Cumbuslang,31,18-39,Elite,01:07:49,02:18:34
75,33,10,10,"SULLIVAN, Susanna (USA)",–,71,18-39,Elite,01:11:15,02:24:27
76,–,–,–,"SURAFEL, Paulos (GBR)",Thames Valley,34,18-39,Elite,01:05:13,–
77,30,8,8,"TESHOME, Tadu (ETH)",–,65,18-39,Elite,01:08:30,02:21:31
78,–,–,–,"THACKERY, Calli (GBR)",Hallamshire,43,18-39,Elite,–,–
79,10,10,2,"THOMPSON, Chris (GBR)",Aldershot Farnham & District,13,40-44,Elite,01:05:26,02:11:50
80,3,3,3,"TOLA, Tamirat (ETH)",–,5,18-39,Elite,01:01:41,02:04:59
81,5,5,5,"TURA, Seifu (ETH)",–,8,18-39,Elite,01:01:41,02:06:38
82,–,–,–,"TWELL, Stephanie (GBR)",Aldershot Farnham & District,42,18-39,Elite,–,–
83,–,–,–,"WALKER, Kieran (GBR)",NE Project,16,18-39,Elite,–,–
84,–,–,–,"WRIGHT, Alice (GBR)",Worcester,73,18-39,Elite,01:13:26,–
85,32,9,9,"YAREMCHUK, Sofiia (ITA)",–,81,18-39,Elite,01:11:15,02:24:02
86,25,5,5,"YEHUALAW, Yalemzerf (ETH)",–,61,18-39,Elite,01:08:30,02:18:53
